Year,Exchange_Rate,Currency
2018,110.83,Japanese yen   (JPY)                     
2019,109.12,Japanese yen   (JPY)                     
2020,103.63,Japanese yen   (JPY)                     
2000,1326.10,Korean won   (KRW)                     
2001,1326.10,Korean won   (KRW)                     
2002,1261.95,Korean won   (KRW)                     
2003,1197.80,Korean won   (KRW)                     
2004,1035.60,Korean won   (KRW)                     
2005,1013.00,Korean won   (KRW)                     
2006,929.60,Korean won   (KRW)                     
2007,938.20,Korean won   (KRW)                     
2008,1257.50,Korean won   (KRW)                     
2009,1167.60,Korean won   (KRW)                     
2010,1146.10,Korean won   (KRW)                     
2011,1153.30,Korean won   (KRW)                     
2012,1072.50,Korean won   (KRW)                     
2013,1055.60,Korean won   (KRW)                     
2014,1099.20,Korean won   (KRW)                     
2015,1172.00,Korean won   (KRW)                     
2016,1208.50,Korean won   (KRW)                     
2017,1071.40,Korean won   (KRW)                     
2018,1121.30,Korean won   (KRW)                     
2019,1160.90,Korean won   (KRW)                     
2020,1106.60,Korean won   (KRW)                     
2000,0.30,Kuwaiti dinar   (KWD)                     
2001,0.30,Kuwaiti dinar   (KWD)                     
2002,0.30,Kuwaiti dinar   (KWD)                     
2003,0.29,Kuwaiti dinar   (KWD)                     
2004,0.28,Kuwaiti dinar   (KWD)                     
2005,0.28,Kuwaiti dinar   (KWD)                     
2006,0.28,Kuwaiti dinar   (KWD)                     
2007,0.27,Kuwaiti dinar   (KWD)                     
2008,0.28,Kuwaiti dinar   (KWD)                     
2009,0.29,Kuwaiti dinar   (KWD)                     
2010,0.28,Kuwaiti dinar   (KWD)                     
2011,0.28,Kuwaiti dinar   (KWD)                     
2012,0.28,Kuwaiti dinar   (KWD)                     
2013,0.28,Kuwaiti dinar   (KWD)                     
2014,0.29,Kuwaiti dinar   (KWD)                     
2015,0.30,Kuwaiti dinar   (KWD)                     
2016,0.31,Kuwaiti dinar   (KWD)                     
2017,0.30,Kuwaiti dinar   (KWD)                     
2018,0.30,Kuwaiti dinar   (KWD)                     
2019,0.30,Kuwaiti dinar   (KWD)                     
2020,0.30,Kuwaiti dinar   (KWD)                     
2000,3.80,Malaysian ringgit   (MYR)                     
2001,3.80,Malaysian ringgit   (MYR)                     
2002,3.80,Malaysian ringgit   (MYR)                     
2003,3.80,Malaysian ringgit   (MYR)                     
2004,3.80,Malaysian ringgit   (MYR)                     
2005,3.78,Malaysian ringgit   (MYR)                     
2006,3.54,Malaysian ringgit   (MYR)                     
2007,3.31,Malaysian ringgit   (MYR)                     
2008,3.46,Malaysian ringgit   (MYR)                     
2009,3.42,Malaysian ringgit   (MYR)                     
2010,3.08,Malaysian ringgit   (MYR)                     
2011,3.18,Malaysian ringgit   (MYR)                     
2012,3.06,Malaysian ringgit   (MYR)                     
2013,3.29,Malaysian ringgit   (MYR)                     
2014,3.50,Malaysian ringgit   (MYR)                     
2015,4.29,Malaysian ringgit   (MYR)                     
2016,4.49,Malaysian ringgit   (MYR)                     
2017,4.06,Malaysian ringgit   (MYR)                     
2018,4.16,Malaysian ringgit   (MYR)                     
2019,4.11,Malaysian ringgit   (MYR)                     
2020,4.11,Malaysian ringgit   (MYR)                     
2000,26.09,Mauritian rupee   (MUR)                     
2001,26.09,Mauritian rupee   (MUR)                     
2002,26.09,Mauritian rupee   (MUR)                     
2003,26.09,Mauritian rupee   (MUR)                     
2004,28.38,Mauritian rupee   (MUR)                     
2005,30.67,Mauritian rupee   (MUR)                     
2006,34.34,Mauritian rupee   (MUR)                     
2007,28.22,Mauritian rupee   (MUR)                     
2008,31.76,Mauritian rupee   (MUR)                     
2009,30.29,Mauritian rupee   (MUR)                     
2010,29.81,Mauritian rupee   (MUR)                     
2011,29.33,Mauritian rupee   (MUR)                     
2012,30.54,Mauritian rupee   (MUR)                     
