Country,Code,Unemployment,PCAP_Inc,Region,Sub_Region,,HCI_2020
Sudan,SDN,17.71,4122.53,Africa,Northern Africa,,0.38
Senegal,SEN,7.1,3545.1,Africa,Sub-Saharan Africa,,0.42
Solomon Islands,SLB,0.79,2780.64,Oceania,Melanesia,,0.42
Sierra Leone,SLE,4.6,1794.31,Africa,Sub-Saharan Africa,,0.36
El Salvador,SLV,6.98,9164.35,Americas,Latin America and the Caribbean,,0.55
Serbia,SRB,9.08,18929.91,Europe,Southern Europe,,0.68
Eswatini,SWZ,23.4,9003.36,Africa,Sub-Saharan Africa,,0.37
Chad,TCD,2.26,1649.53,Africa,Sub-Saharan Africa,,0.3
Togo,TGO,4.05,1667.3,Africa,Sub-Saharan Africa,,0.43
Thailand,THA,1.02,19276.9,Asia,South-eastern Asia,,0.61
Tajikistan,TJK,7.5,3529.31,Asia,Central Asia,,0.5
Timor-Leste,TLS,5.06,3709.81,Asia,South-eastern Asia,,0.45
Tonga,TON,4.37,6665.75,Oceania,Polynesia,,0.53
Tunisia,TUN,16.69,11231.57,Africa,Northern Africa,,0.52
Turkey,TUR,13.92,27318.43,Asia,Western Asia,,0.65
Tanzania,TZA,2.16,2770.68,Africa,Sub-Saharan Africa,,0.39
Uganda,UGA,2.44,2284.27,Africa,Sub-Saharan Africa,,0.38
Uzbekistan,UZB,5.97,7308.48,Asia,Central Asia,,0.62
Vietnam,VNM,2.27,8397.02,Asia,South-eastern Asia,,0.69
Vanuatu,VUT,1.95,3292.54,Oceania,Melanesia,,0.45
Samoa,WSM,8.87,6795.68,Oceania,Polynesia,,0.55
South Africa,ZAF,28.74,13034.17,Africa,Sub-Saharan Africa,,0.43
Zambia,ZMB,12.17,3624.02,Africa,Sub-Saharan Africa,,0.4
Zimbabwe,ZWE,5.73,2961.45,Africa,Sub-Saharan Africa,,0.47
