Country,Code,Unemployment,PCAP_Inc,Region,Sub_Region
Nicaragua,NIC,5.82,5646.4,Americas,Latin America and the Caribbean
Ghana,GHA,4.53,5652.15,Africa,Sub-Saharan Africa
Djibouti,DJI,11.57,5779.68,Africa,Sub-Saharan Africa
Honduras,HND,9.39,5981.45,Americas,Latin America and the Caribbean
West Bank and Gaza,PSE,27.35,6495.21,Asia,Western Asia
South Asia,SAS,6.63,6499.96,Africa,Sub-Saharan Africa
South Asia (IDA & IBRD),TSA,6.63,6499.96,Oceania,Polynesia
Tonga,TON,4.37,6665.75,Oceania,Polynesia
Samoa,WSM,8.87,6795.68,Oceania,Polynesia
Lower middle income,LMC,6.27,6829.83,Asia,Southern Asia
Angola,AGO,7.7,6965.51,Africa,Sub-Saharan Africa
India,IND,7.11,6996.56,Asia,Southern Asia
Uzbekistan,UZB,5.97,7308.48,Asia,Central Asia
Belize,BLZ,7.82,7314.63,Americas,Latin America and the Caribbean
Cabo Verde,CPV,13.41,7489.21,Africa,Sub-Saharan Africa
Pacific island small states,PSS,3.11,7644.54,Asia,Western Asia
Morocco,MAR,10.15,7826.17,Africa,Northern Africa
Lao PDR,LAO,0.95,8172.73,Asia,South-eastern Asia
Vietnam,VNM,2.27,8397.02,Asia,South-eastern Asia
Eswatini,SWZ,23.4,9003.36,Africa,Sub-Saharan Africa
Guatemala,GTM,4.65,9019.69,Americas,Latin America and the Caribbean
Bolivia,BOL,5.61,9110.56,Americas,Latin America and the Caribbean
El Salvador,SLV,6.98,9164.35,Americas,Latin America and the Caribbean
Philippines,PHL,3.36,9302.39,Asia,South-eastern Asia
Early-demographic dividend,EAR,6.86,9693.77,Africa,Northern Africa
Namibia,NAM,20.35,10063.65,Africa,Sub-Saharan Africa
Jamaica,JAM,8.4,10193.47,Americas,Latin America and the Caribbean
Jordan,JOR,18.5,10517.07,Asia,Western Asia
Low & middle income,LMY,6.4,11088.05,Asia,Southern Asia
Middle East & North Africa (excluding high income),MNA,11.9,11123.53,Asia,South-eastern Asia
Middle East & North Africa (IDA & IBRD countries),TMN,11.73,11179.26,Asia,South-eastern Asia
Tunisia,TUN,16.69,11231.57,Africa,Northern Africa
Iraq,IRQ,13.74,11362.69,Asia,Western Asia
IDA & IBRD total,IBT,6.41,11391.25,Europe,Eastern Europe
Ecuador,ECU,6.23,11878.72,Americas,Latin America and the Caribbean
Algeria,DZA,12.83,12019.93,Africa,Northern Africa
Middle income,MIC,6.51,12097.89,Oceania,Micronesia
"Egypt, Arab Rep.",EGY,10.45,12283.81,Africa,Northern Africa
Indonesia,IDN,4.11,12334.92,Asia,South-eastern Asia
Bhutan,BTN,3.74,12355.79,Asia,Southern Asia
Mongolia,MNG,4.33,12861.84,Asia,Eastern Asia
"Iran, Islamic Rep.",IRN,10.96,12937.48,Asia,Southern Asia
South Africa,ZAF,28.74,13034.17,Africa,Sub-Saharan Africa
St. Vincent and the Grenadines,VCT,20.27,13037.68,Americas,Latin America and the Caribbean
Paraguay,PRY,7.61,13246.46,Americas,Latin America and the Caribbean
Ukraine,UKR,9.48,13341.21,Europe,Eastern Europe
Peru,PER,6.24,13416.44,Americas,Latin America and the Caribbean
Moldova,MDA,4.71,13598.26,Europe,Eastern Europe
Sri Lanka,LKA,4.84,13656.84,Asia,Southern Asia
Guyana,GUY,15.82,13661.28,Americas,Latin America and the Caribbean
IBRD only,IBD,6.75,13976.27,Europe,Eastern Europe
Albania,ALB,11.7,14224.1,Europe,Southern Europe
Armenia,ARM,20.21,14257.96,Asia,Western Asia
Fiji,FJI,4.79,14289.96,Oceania,Melanesia
Azerbaijan,AZE,6.27,15039.81,Asia,Western Asia
East Asia & Pacific (excluding high income),EAP,4.39,15054.78,Africa,Northern Africa
Lebanon,LBN,6.61,15195.53,Asia,Western Asia
East Asia & Pacific (IDA & IBRD countries),TEA,4.41,15212.8,Africa,Sub-Saharan Africa
Arab World,ARB,11.48,15256.34,Europe,Southern Europe
Brazil,BRA,13.67,15299.99,Americas,Latin America and the Caribbean
Gabon,GAB,20.47,15611.65,Africa,Sub-Saharan Africa
Colombia,COL,15.44,15630.08,Americas,Latin America and the Caribbean
Georgia,GEO,12.05,15656.6,Asia,Western Asia
Bosnia and Herzegovina,BIH,16.85,15817.16,Europe,Southern Europe
Libya,LBY,19.39,15845.66,Africa,Northern Africa
St. Lucia,LCA,17.13,16132.41,Americas,Latin America and the Caribbean
Latin America & Caribbean (excluding high income),LAC,10.23,16290.02,Asia,Western Asia
Barbados,BRB,12.79,16330.89,Americas,Latin America and the Caribbean
Caribbean small states,CSS,9.8,16550.86,Americas,Latin America and the Caribbean
China,CHN,5,16804.43,Asia,Eastern Asia
Latin America & the Caribbean (IDA & IBRD countries),TLA,10.38,16839.74,Asia,Central Asia
Latin America & Caribbean,LCN,10.28,16900.79,Americas,Latin America and the Caribbean
Middle East & North Africa,MEA,10.64,17036.65,Asia,Southern Asia
Suriname,SUR,8.65,17256.02,Americas,Latin America and the Caribbean
Upper middle income,UMC,6.7,17455.91,Europe,Eastern Europe
North Macedonia,MKD,18.4,17583.44,Europe,Southern Europe
World,WLD,6.47,17633.47,Oceania,Melanesia
Late-demographic dividend,LTE,5.93,18252.45,Africa,Sub-Saharan Africa
East Asia & Pacific,EAS,4.34,18400.41,Africa,Northern Africa
Botswana,BWA,17.7,18552.75,Africa,Sub-Saharan Africa
Serbia,SRB,9.08,18929.91,Europe,Southern Europe
Dominican Republic,DOM,8.9,19227.72,Americas,Latin America and the Caribbean
Thailand,THA,1.02,19276.9,Asia,South-eastern Asia
Equatorial Guinea,GNQ,9.15,19379.24,Africa,Sub-Saharan Africa
Belarus,BLR,5.28,20101.12,Europe,Eastern Europe
Maldives,MDV,7.18,20395.49,Asia,Southern Asia
Mexico,MEX,4.71,20447.89,Americas,Latin America and the Caribbean
Costa Rica,CRI,17.08,21059.92,Americas,Latin America and the Caribbean
Small states,SST,9.99,21485.54,Africa,Sub-Saharan Africa
Uruguay,URY,12.67,22515.19,Americas,Latin America and the Caribbean
