Country,Current,Capital,Investment,C-I,Exporters_Importers
United States,-449700.00,-4197.00,-419713.70,"-873,610.70",Net Importers
United Kingdom,-104799.37,-4243.30,-113334.60,"-222,377.27",Net Importers
China,24130.91,-568.60,-153805.60,"-130,243.29",Net Exporters
Brazil,-51459.59,439.70,-52332.10,"-103,351.99",Net Importers
Canada,-40435.65,-59.90,-35129.60,"-75,625.15",Net Importers
Ireland,24169.68,-59355.60,-35352.70,"-70,538.62",Net Exporters
Australia,-29784.74,-361.40,-35833.50,"-65,979.64",Net Importers
Indonesia,-30633.12,97.20,-32255.10,"-62,791.02",Net Importers
Mexico,-25339.47,-64.60,-31612.90,"-57,016.97",Net Importers
Argentina,-27049.21,83.80,-28079.30,"-55,044.71",Net Importers
France,-16831.86,2481.30,-29690.80,"-44,041.36",Net Importers
Pakistan,-18858.99,323.00,-18916.30,"-37,452.29",Net Importers
Algeria,-16709.17,0.20,-16844.20,"-33,553.17",Net Importers
Turkey,-21743.00,80.00,-10858.40,"-32,521.40",Net Importers
South Africa,-13384.04,18.00,-11388.60,"-24,754.64",Net Importers
Finland,-5158.73,229.10,-18974.30,"-23,903.93",Net Importers
Chile,-11640.43,42.80,-11310.40,"-22,908.03",Net Importers
Philippines,-8877.05,64.90,-11637.70,"-20,449.85",Net Importers
